Year         Average Rainfall(mm)

1991         261.79999999999995
1992         354.20000000000005
1993         234.70000000000002
1994         381.4000000000001
1995         350.5
1996         335.90000000000003
1997         338.2
1998         283.0
1999         232.60000000000002
2000         210.70000000000002
2001         243.39999999999998
2002         214.70000000000002
2003         370.1
2004         253.99999999999997
2005         326.9
2006         363.9
2007         312.50000000000006
2008         335.1
2009         283.3
2010         398.20000000000005
2011         323.2
2012         264.9
2013         347.99999999999994
2014         251.50000000000003
2015         405.9
2016         293.9
2017         278.8
2018         196.1
2019         372.20000000000005
2020         401.70000000000005
